hmi.baidu.com                 	123.125.115.15, 180.97.33.34, 183.232.231.89
imo.baidu.com                 	220.181.111.13
qy.baidu.com                  	180.149.133.147
sux.baidu.com                 	180.76.166.215
das.baidu.com                 	180.149.133.147
zcgl.baidu.com                	123.125.115.77
eiv.baidu.com                 	115.239.211.92
rtc.baidu.com                 	111.206.37.182, 220.181.7.180
scq.baidu.com                 	220.181.57.55
edr.baidu.com                 	180.149.145.82
xue.baidu.com                 	119.75.222.131
zdh.baidu.com                 	180.149.133.150
adx.baidu.com                 	180.76.171.225
mse.baidu.com                 	220.181.163.81
